full_jaspar_motif,jaspar_motif,jaspar_name_1,jaspar_name_2,TFClass_name_1,TFClass_name_2,RNA_name_1,RNA_name_2,TFClass_subfamily_1,TFClass_family_1,TFClass_class_1,TFClass_superclass_1,TFClass_num_1,TFClass_subfamily_2,TFClass_family_2,TFClass_class_2,TFClass_superclass_2,TFClass_num_2,lowest_level_fam_1,lowest_level_fam_2
NA,NA,NA,NA,ZNF775,NA,ZNF775,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.44,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF467,NA,ZNF467,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.45,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF787,NA,ZNF787,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.46,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF48,NA,ZNF48,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.48,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF629,NA,ZNF629,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.49,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF668,NA,ZNF668,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.50,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF101,NA,ZNF101,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.51,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF251,NA,ZNF251,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.52,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF445,NA,ZNF445,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.53,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZSCAN20,NA,ZSCAN20,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.56,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF674,NA,ZNF674,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.57,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF778,NA,ZNF778,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.63,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF519,NA,ZNF519,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.68,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF304,NA,ZNF304,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.69,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF132,NA,ZNF132,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.70,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZBTB17,NA,ZBTB17,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.72,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF407,NA,ZNF407,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.73,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,E4F1,NA,E4F1,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.74,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,PRDM8,NA,PRDM8,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.3,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZBTB38,NA,ZBTB38,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.8,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF277,NA,ZNF277,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.19,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,PEG3,NA,PEG3,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.23,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF628,NA,ZNF628,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.39,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF316,NA,ZNF316,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.43,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF195,NA,ZNF195,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.59,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF606,NA,ZNF606,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.67,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF462,NA,ZNF462,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.75,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZNF644,NA,ZNF644,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.76,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
NA,NA,NA,NA,ZBED3,NA,ZBED3,NA,NA,BED zinc finger factors,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.5.0.3,NA,NA,NA,NA,NA,BED zinc finger factors,NA
NA,NA,NA,NA,ZBED4,NA,ZBED4,NA,NA,BED zinc finger factors,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.5.0.4,NA,NA,NA,NA,NA,BED zinc finger factors,NA
NA,NA,NA,NA,ZBED5,NA,ZBED5,NA,NA,BED zinc finger factors,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.5.0.5,NA,NA,NA,NA,NA,BED zinc finger factors,NA
NA,NA,NA,NA,ZBED6,NA,ZBED6,NA,NA,BED zinc finger factors,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.5.0.6,NA,NA,NA,NA,NA,BED zinc finger factors,NA
NA,NA,NA,NA,DMRT1,NA,DMRT1,NA,NA,DMRT,DM-type intertwined zinc finger factors,Zinc-coordinating DNA-binding domains,2.5.1.0.1,NA,NA,NA,NA,NA,DMRT,NA
NA,NA,NA,NA,DMRT2,NA,DMRT2,NA,NA,DMRT,DM-type intertwined zinc finger factors,Zinc-coordinating DNA-binding domains,2.5.1.0.2,NA,NA,NA,NA,NA,DMRT,NA
NA,NA,NA,NA,DMRTB1,NA,DMRTB1,NA,NA,DMRT,DM-type intertwined zinc finger factors,Zinc-coordinating DNA-binding domains,2.5.1.0.6,NA,NA,NA,NA,NA,DMRT,NA
NA,NA,NA,NA,CXXC1,NA,CXXC1,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.1,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,MBD1,NA,MBD1,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.2,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,TET1,NA,TET1,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.3,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,KDM2A,NA,KDM2A,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.5,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,DNMT1,NA,DNMT1,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.6,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,KMT2B,NA,KMT2B,NA,NA,CpG-binding proteins,CXXC zinc finger factors,Zinc-coordinating DNA-binding domains,2.6.1.0.7,NA,NA,NA,NA,NA,CpG-binding proteins,NA
NA,NA,NA,NA,MYT1,NA,MYT1,NA,NA,MYT,C2HC,Zinc-coordinating DNA-binding domains,2.7.1.0.1,NA,NA,NA,NA,NA,MYT,NA
NA,NA,NA,NA,MYT1L,NA,MYT1L,NA,NA,MYT,C2HC,Zinc-coordinating DNA-binding domains,2.7.1.0.2,NA,NA,NA,NA,NA,MYT,NA
NA,NA,NA,NA,ST18,NA,ST18,NA,NA,MYT,C2HC,Zinc-coordinating DNA-binding domains,2.7.1.0.3,NA,NA,NA,NA,NA,MYT,NA
NA,NA,NA,NA,KAT5,NA,KAT5,NA,NA,MYST,C2HC,Zinc-coordinating DNA-binding domains,2.7.3.0.5,NA,NA,NA,NA,NA,MYST,NA
NA,NA,NA,NA,L3MBTL1,NA,L3MBTL1,NA,NA,L3MBTL1,C2HC,Zinc-coordinating DNA-binding domains,2.7.4.0.1,NA,NA,NA,NA,NA,L3MBTL1,NA
NA,NA,NA,NA,LYAR,NA,LYAR,NA,NA,LYAR,C2HC,Zinc-coordinating DNA-binding domains,2.7.5.0.1,NA,NA,NA,NA,NA,LYAR,NA
NA,NA,NA,NA,ZC3H8,NA,ZC3H8,NA,NA,ZC3H8,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.1.0.1,NA,NA,NA,NA,NA,ZC3H8,NA
NA,NA,NA,NA,ZC3H4,NA,ZC3H4,NA,NA,ZC3H8,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.1.0.2,NA,NA,NA,NA,NA,ZC3H8,NA
NA,NA,NA,NA,ZC3H6,NA,ZC3H6,NA,NA,ZC3H8,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.1.0.3,NA,NA,NA,NA,NA,ZC3H8,NA
NA,NA,NA,NA,ZGPAT,NA,ZGPAT,NA,NA,ZGPAT,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.2.0.1,NA,NA,NA,NA,NA,ZGPAT,NA
NA,NA,NA,NA,RC3H2,NA,RC3H2,NA,NA,RC3H,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.3.0.1,NA,NA,NA,NA,NA,RC3H,NA
NA,NA,NA,NA,CNOT4,NA,CNOT4,NA,NA,CNOT4,C3H zinc finger factors,Zinc-coordinating DNA-binding domains,2.8.4.0.1,NA,NA,NA,NA,NA,CNOT4,NA
NA,NA,NA,NA,THAP2,NA,THAP2,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.2,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP3,NA,THAP3,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.3,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP4,NA,THAP4,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.4,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP5,NA,THAP5,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.5,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP6,NA,THAP6,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.6,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP7,NA,THAP7,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.7,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP8,NA,THAP8,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.8,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP9,NA,THAP9,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.9,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,THAP10,NA,THAP10,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.10,NA,NA,NA,NA,NA,THAP,NA
NA,NA,NA,NA,HOXB1,NA,HOXB1,NA,HOX1,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.1.2,NA,NA,NA,NA,NA,HOX1,NA
NA,NA,NA,NA,HOXD1,NA,HOXD1,NA,HOX1,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.1.3,NA,NA,NA,NA,NA,HOX1,NA
NA,NA,NA,NA,HOXA3,NA,HOXA3,NA,HOX3,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.3.1,NA,NA,NA,NA,NA,HOX3,NA
NA,NA,NA,NA,HOXC5,NA,HOXC5,NA,HOX5,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.5.3,NA,NA,NA,NA,NA,HOX5,NA
NA,NA,NA,NA,HOXC6,NA,HOXC6,NA,HOX6-7,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.6.3,NA,NA,NA,NA,NA,HOX6-7,NA
NA,NA,NA,NA,HOXA11,NA,HOXA11,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.9,NA,NA,NA,NA,NA,HOX9-13,NA
NA,NA,NA,NA,DBX1,NA,DBX1,NA,DBX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.4.1,NA,NA,NA,NA,NA,DBX,NA
NA,NA,NA,NA,DBX2,NA,DBX2,NA,DBX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.4.2,NA,NA,NA,NA,NA,DBX,NA
NA,NA,NA,NA,DLX2,NA,DLX2,NA,DLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.5.2,NA,NA,NA,NA,NA,DLX,NA
NA,NA,NA,NA,DLX3,NA,DLX3,NA,DLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.5.3,NA,NA,NA,NA,NA,DLX,NA
NA,NA,NA,NA,DLX4,NA,DLX4,NA,DLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.5.4,NA,NA,NA,NA,NA,DLX,NA
NA,NA,NA,NA,HHEX,NA,HHEX,NA,HHEX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.8.1,NA,NA,NA,NA,NA,HHEX,NA
NA,NA,NA,NA,"NANOG",NA,"NANOG",NA,"NANOG",NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.12.1,NA,NA,NA,NA,NA,"NANOG",NA
NA,NA,NA,NA,NKX1-1,NA,NKX1-1,NA,NK1,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.13.1,NA,NA,NA,NA,NA,NK1,NA
NA,NA,NA,NA,NKX1-2,NA,NKX1-2,NA,NK1,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.13.2,NA,NA,NA,NA,NA,NK1,NA
NA,NA,NA,NA,NKX2-1,NA,NKX2-1,NA,NK2.1,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.14.1,NA,NA,NA,NA,NA,NK2.1,NA
NA,NA,NA,NA,NKX3-1,NA,NKX3-1,NA,NK3,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.16.1,NA,NA,NA,NA,NA,NK3,NA
NA,NA,NA,NA,NKX3-2,NA,NKX3-2,NA,NK3,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.16.2,NA,NA,NA,NA,NA,NK3,NA
NA,NA,NA,NA,NKX2-6,NA,NKX2-6,NA,NK4,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.17.3,NA,NA,NA,NA,NA,NK4,NA
NA,NA,NA,NA,HMX1,NA,HMX1,NA,NK5-HMX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.18.1,NA,NA,NA,NA,NA,NK5-HMX,NA
NA,NA,NA,NA,HMX2,NA,HMX2,NA,NK5-HMX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.18.2,NA,NA,NA,NA,NA,NK5-HMX,NA
NA,NA,NA,NA,HMX3,NA,HMX3,NA,NK5-HMX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.18.3,NA,NA,NA,NA,NA,NK5-HMX,NA
NA,NA,NA,NA,TLX3,NA,TLX3,NA,TLX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.21.3,NA,NA,NA,NA,NA,TLX,NA
NA,NA,NA,NA,ALX1,NA,ALX1,NA,ALX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.1.1,NA,NA,NA,NA,NA,ALX,NA
NA,NA,NA,NA,ALX4,NA,ALX4,NA,ALX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.1.3,NA,NA,NA,NA,NA,ALX,NA
NA,NA,NA,NA,ARX,NA,ARX,NA,ARX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.3.1,NA,NA,NA,NA,NA,ARX,NA
NA,NA,NA,NA,DMBX1,NA,DMBX1,NA,DMBX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.4.1,NA,NA,NA,NA,NA,DMBX,NA
NA,NA,NA,NA,DUX4L4,NA,DUX4L4,NA,DUX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.7.9,NA,NA,NA,NA,NA,DUX,NA
NA,NA,NA,NA,HOPX,NA,HOPX,NA,HOPX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.11.1,NA,NA,NA,NA,NA,HOPX,NA
NA,NA,NA,NA,LEUTX,NA,LEUTX,NA,LEUTX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.13.1,NA,NA,NA,NA,NA,LEUTX,NA
NA,NA,NA,NA,NOBOX,NA,NOBOX,NA,NOBOX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.15.1,NA,NA,NA,NA,NA,NOBOX,NA
NA,NA,NA,NA,OTP,NA,OTP,NA,OTP,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.16.1,NA,NA,NA,NA,NA,OTP,NA
NA,NA,NA,NA,CRX,NA,CRX,NA,OTX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.17.3,NA,NA,NA,NA,NA,OTX,NA
NA,NA,NA,NA,RHOXF2,NA,RHOXF2,NA,RHOX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.23.2,NA,NA,NA,NA,NA,RHOX,NA
NA,NA,NA,NA,SEBOX,NA,SEBOX,NA,SEBOX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.24.1,NA,NA,NA,NA,NA,SEBOX,NA
NA,NA,NA,NA,SHOX2,NA,SHOX2,NA,SHOX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.25.2,NA,NA,NA,NA,NA,SHOX,NA
NA,NA,NA,NA,TPRX1,NA,TPRX1,NA,TPRX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.26.1,NA,NA,NA,NA,NA,TPRX,NA
NA,NA,NA,NA,TPRXL,NA,TPRXL,NA,TPRX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.26.2,NA,NA,NA,NA,NA,TPRX,NA
NA,NA,NA,NA,IRX1,NA,IRX1,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.1,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,IRX2,NA,IRX2,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.2,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,IRX3,NA,IRX3,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.3,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,IRX4,NA,IRX4,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.4,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,IRX5,NA,IRX5,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.5,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,IRX6,NA,IRX6,NA,IRX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.1.6,NA,NA,NA,NA,NA,IRX,NA
NA,NA,NA,NA,MKX,NA,MKX,NA,MKX,TALE-type HD,Homeo domain factors,Helix-turn-helix domains,3.1.4.3.1,NA,NA,NA,NA,NA,MKX,NA
NA,NA,NA,NA,ISL1,NA,ISL1,NA,ISL,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.1.1,NA,NA,NA,NA,NA,ISL,NA
NA,NA,NA,NA,LHX3,NA,LHX3,NA,LHX3-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.4.1,NA,NA,NA,NA,NA,LHX3-like,NA
NA,NA,NA,NA,LHX4,NA,LHX4,NA,LHX3-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.4.2,NA,NA,NA,NA,NA,LHX3-like,NA
NA,NA,NA,NA,LHX8,NA,LHX8,NA,LHX6-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.5.2,NA,NA,NA,NA,NA,LHX6-like,NA
NA,NA,NA,NA,SIX3,NA,SIX3,NA,SIX3-like,HD-SINE,Homeo domain factors,Helix-turn-helix domains,3.1.6.2.1,NA,NA,NA,NA,NA,SIX3-like,NA
NA,NA,NA,NA,SIX6,NA,SIX6,NA,SIX3-like,HD-SINE,Homeo domain factors,Helix-turn-helix domains,3.1.6.2.2,NA,NA,NA,NA,NA,SIX3-like,NA
NA,NA,NA,NA,SIX4,NA,SIX4,NA,SIX4-like,HD-SINE,Homeo domain factors,Helix-turn-helix domains,3.1.6.3.1,NA,NA,NA,NA,NA,SIX4-like,NA
NA,NA,NA,NA,SIX5,NA,SIX5,NA,SIX4-like,HD-SINE,Homeo domain factors,Helix-turn-helix domains,3.1.6.3.2,NA,NA,NA,NA,NA,SIX4-like,NA
NA,NA,NA,NA,PROX2,NA,PROX2,NA,NA,HD-PROS,Homeo domain factors,Helix-turn-helix domains,3.1.7.0.2,NA,NA,NA,NA,NA,HD-PROS,NA
NA,NA,NA,NA,ADNP2,NA,ADNP2,NA,ADNP,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.1.2,NA,NA,NA,NA,NA,ADNP,NA
NA,NA,NA,NA,TSHZ1,NA,TSHZ1,NA,TSHZ,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.2.1,NA,NA,NA,NA,NA,TSHZ,NA
NA,NA,NA,NA,TSHZ2,NA,TSHZ2,NA,TSHZ,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.2.2,NA,NA,NA,NA,NA,TSHZ,NA
NA,NA,NA,NA,TSHZ3,NA,TSHZ3,NA,TSHZ,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.2.3,NA,NA,NA,NA,NA,TSHZ,NA
NA,NA,NA,NA,ZEB2,NA,ZEB2,NA,ZEB,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.3.2,NA,NA,NA,NA,NA,ZEB,NA
NA,NA,NA,NA,ZFHX2,NA,ZFHX2,NA,ZFHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.4.1,NA,NA,NA,NA,NA,ZFHX,NA
NA,NA,NA,NA,ZFHX3,NA,ZFHX3,NA,ZFHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.4.2,NA,NA,NA,NA,NA,ZFHX,NA
NA,NA,NA,NA,ZFHX4,NA,ZFHX4,NA,ZFHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.4.3,NA,NA,NA,NA,NA,ZFHX,NA
NA,NA,NA,NA,ZHX1,NA,ZHX1,NA,ZHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.5.1,NA,NA,NA,NA,NA,ZHX,NA
NA,NA,NA,NA,ZHX2,NA,ZHX2,NA,ZHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.5.2,NA,NA,NA,NA,NA,ZHX,NA
NA,NA,NA,NA,ZHX3,NA,ZHX3,NA,ZHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.5.3,NA,NA,NA,NA,NA,ZHX,NA
NA,NA,NA,NA,HOMEZ,NA,HOMEZ,NA,ZHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.5.4,NA,NA,NA,NA,NA,ZHX,NA
NA,NA,NA,NA,"NANOGNB",NA,"NANOGNB",NA,ZHX,HD-ZF,Homeo domain factors,Helix-turn-helix domains,3.1.8.5.5,NA,NA,NA,NA,NA,ZHX,NA
NA,NA,NA,NA,SATB2,NA,SATB2,NA,SATB,HD-CUT,Homeo domain factors,Helix-turn-helix domains,3.1.9.3.2,NA,NA,NA,NA,NA,SATB,NA
NA,NA,NA,NA,POU5F2,NA,POU5F2,NA,POU5,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.5.4,NA,NA,NA,NA,NA,POU5,NA
NA,NA,NA,NA,HDX,NA,HDX,NA,HDX,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.8.1,NA,NA,NA,NA,NA,HDX,NA
